Gene_ID	TET1_ALT_1	TET1_ALT_2	TET1_ALT_3	Empty_Vector_1	Empty_Vector_2	Empty_Vector_3	TET1_FL_1	TET1_FL_2	TET1_FL_3
TRPT1	314.726	308.271	337.501	300.766	278.844	284.945	282.371	342.944	317.755
LOC284023	125.174	102.312	115.585	145.105	137.581	129.786	93.2161	131.649	94.8813
PHTF2	1128.63	1132.84	1104.99	1142.53	1179	1188.76	1203.58	859.593	1034.66
CLEC4A	14.9385	13.4621	9.2468	21.1318	16.6578	24.4524	2.74165	11.063	22.5908
C14orf80	714.472	712.146	816.801	615.639	672.48	603.785	573.005	708.03	615.976
DESI2	4830.8	4567.7	4628.02	5205.46	5060.88	4863.2	4822.56	4605.51	5057.33
TCEB3	3065.45	2957.39	2891.35	3190	3161.99	3082.87	2436.05	2538.25	2776.26
HSPA1B	11333.2	9938.41	9303.82	12016.9	12321.2	11678.8	3566.89	3598.78	3331.39
FAM69B	2721.23	2790.61	3044.21	2402.51	2556.92	2599.85	2458.4	2858.03	2789.89
HIP1R	1358.37	1421.6	1377.77	1209.44	1331.39	1271.52	1274.87	1504.56	1365.99
CTU1	285.892	298.186	382.201	197.23	225.188	250.167	222.074	272.149	173.196
CPSF2	4409.43	4287.01	4076.3	4767.33	4517.96	4561.31	4490.82	4057.9	4507.62
FKRP	403.339	413.287	448.47	349.379	368.939	390.294	375.606	413.755	349.401
OPHN1	515.636	543.197	500.868	564.923	568.832	547.357	622.355	649.396	682.242
SEMA3D	239.016	240.299	240.417	255.695	256.036	243.583	293.357	248.917	275.608
TOR1AIP1	1503.12	1435.06	1459.45	1530.65	1514.01	1532.04	1598.38	1434.87	1546.72
PHF17	2010	1936.53	1952.62	2063.17	2048.29	2015.44	1845.13	1933.81	2064.8
PLIN1	17.5141	22.2125	18.4936	23.9494	27.146	32.9167	27.4165	21.0196	36.1453
LENG1	228.626	212.136	219.132	209.141	186.219	192.716	192.469	212.275	162.414
ZUFSP	916.914	943.695	949.338	1098.15	1016.74	989.381	888.295	870.656	997.007
LHX2	71.0866	66.6375	80.1389	64.0998	50.5903	54.5476	79.5079	73.0156	60.2421
TAF2	2240.77	2121.63	2091.32	2270.26	2285.82	2295.7	2124.78	2067.67	2150.64
MAK	147.324	137.314	152.572	176.098	155.473	174.929	161.757	131.649	140.063
TTLL11	115.902	112.409	117.126	100.024	91.9262	109.095	126.116	139.393	114.46
STX2	1126.57	1116.01	1054.14	1209.44	1146.3	1196.29	1088.44	1163.82	1204.84
RNGTT	1527.85	1554.88	1505.69	1718.72	1634.31	1587.52	1658.7	1572.05	1882.57
SSFA2	1969.82	1997.78	1886.35	2053.31	2035.95	2108.55	1984.96	1835.35	2022.63
MRAS	649.052	636.759	644.194	603.665	592.893	631.059	699.121	692.542	707.845
FAM173B	498.121	467.809	442.305	588.168	539.835	513.5	479.789	487.877	560.252
DHRS11	208.109	215.394	215.759	206.387	188.171	193.738	246.749	295.381	212.353
MTRF1L	265.287	258.473	255.828	276.826	267.141	284.024	235.782	241.173	293.68
ZNF189	720.654	774.745	710.462	810.756	778.597	828.559	636.063	682.585	789.172
CSRNP1	383.25	385.69	426.894	333.882	369.556	333.869	318.031	336.314	355.428
BNIP3	568.178	553.966	584.089	681.148	626.209	605.666	742.987	600.719	626.518
EXO1	3658.39	3642.18	3749.58	3972.78	3783.16	3848.43	3536.73	3301.19	3686.82
TNFRSF11A	371.917	392.421	396.071	333.178	363.386	360.202	334.481	368.397	400.61
GPCPD1	692.322	680.51	670.393	709.324	697.159	726.047	789.595	745.644	852.426
PLAU	49.3247	39.9183	38.5283	54.8968	52.7029	50.7346	65.7996	57.8054	69.0212
FZD3	1489.73	1500.35	1385.48	1533.46	1687.37	1685.33	1623.06	1400.57	1525.63
PIM3	3221.56	3234.95	3664.81	2968.31	2991.61	2918.3	2804.71	3317.78	2847.95
CRELD2	1131.72	1134.18	1178.97	1095.33	1063.63	988.44	989.736	1099.66	942.789
CCDC85B	770.62	867.634	1041.81	667.06	645.334	689.369	775.887	788.79	618.988
MAFF	75.7227	92.2156	92.468	75.37	65.3972	63.9524	63.058	68.5904	78.3148
STX1A	212.23	207.317	220.382	181.733	201.744	196.559	175.466	178.114	170.184
FGF9	40.6945	39.7133	30.8227	50.0119	43.8038	47.9643	54.833	40.933	43.6755
FES	28.8467	28.9436	24.6581	22.5406	22.2104	24.4524	38.3831	29.87	25.6029
NFKBID	64.9052	57.8871	60.1042	35.924	52.4411	48.9047	41.1248	49.7834	51.2058
ZDHHC13	418.278	426.076	450.011	488.849	452.845	471.178	583.972	502.259	560.252
GLIPR1	48.9484	39.8712	38.2961	51.0667	57.0999	67.1312	50.7442	38.9127	37.9595
COPS2	2717.78	2467.61	2555.2	2902.1	2834.29	2737.73	2944.53	2470.36	2872.04
PRR5	459.605	492.267	528.06	432.497	438.038	442.02	367.381	433.668	336.103
NKX6-1	156.082	188.47	186.477	140.174	114.137	150.476	145.307	142.712	159.642
CHTF18	1848.77	2052.97	1971.11	1604.61	1723.15	1821.7	1804.01	2104.18	1915.7
HSPBP1	1032.82	1018.41	1132.73	923.459	961.832	973.392	943.128	961.372	879.535
FAN1	810.031	810.791	825.654	876.249	836.146	904.172	862.169	857.297	935.22
FAM69A	576.935	572.795	531.691	673.4	614.438	606.598	540.105	512.155	627.976
SLC1A1	435.277	371.555	397.612	443.768	465.801	458.012	512.689	440.306	436.755
LYSMD1	346.161	352.035	331.344	387.416	363.386	363.024	493.497	367.291	371.995
FANCB	631.023	584.929	584.089	632.545	653.355	663.976	625.096	498.94	692.784
JPX	132.901	135.294	146.408	129.608	123.391	122.262	159.016	131.649	105.424
SPOPL	693.352	709.454	624.159	811.461	750.217	744.857	581.23	492.302	539.167
CD81	4068.94	4002.96	4307.47	3855.85	3889.28	3866.3	3594.3	4032.45	3727.48
GDF7	63.8749	55.8678	50.8574	41.5592	49.3564	42.3214	54.833	58.6337	48.1937
ANKRD9	198.837	212.028	251.205	134.539	149.303	189.976	150.791	229.003	158.136
C22orf15	5.66633	8.07728	10.7879	3.52196	4.93564	1.88095	5.4833	4.42519	0
PDIK1L	599.6	607.142	542.479	676.922	642.25	632	614.13	576.381	611.458
ZNF655	1314.59	1281.59	1222.12	1387.65	1360.38	1330.77	1299.54	1232.41	1384.06
FANCM	1430.49	1450.54	1308.42	1594.75	1496.73	1532.04	1329.7	1240.16	1468.4
TNFAIP8L1	355.433	346.65	323.638	302.185	320.816	313.178	356.415	382.779	314.765
SPOCD1	40.6945	46.4443	40.0695	34.5153	25.2951	35.7381	46.6081	66.3778	60.2421
CSAD	76.7528	80.7783	92.4679	70.4385	69.159	71.5057	82.3694	87.3967	84.3384
CITED4	50.9969	43.0788	50.8574	33.1065	38.8681	42.3214	49.3497	63.0589	28.615
FAM69C	18.0292	16.8277	21.5759	11.9747	16.0408	13.1667	10.9666	15.4882	15.0605
COL9A2	35.5433	35.0015	27.7404	27.4713	24.6782	22.5714	32.8998	42.0393	43.6755
B3GALNT2	1906.53	1943.68	1915.35	2118.65	1986.23	2007.53	1911.1	1782.21	1967.91
B3GALT6	899.915	864.269	1024.85	711.437	813.763	792.821	707.346	764.451	730.436
PJA2	2380.89	2188.27	2176.08	2480.87	2413.53	2418.9	2585.38	2379.65	2512.1
ASCC3	4216.78	4198.16	3895.98	4569.4	4409.37	4341.24	4202.95	4007.01	4366.05
FAM110A	80.3588	80.0997	77.0567	56.3514	68.4819	72.4166	68.5413	80.7597	76.8087
ABHD3	570.238	558.678	530.15	653.677	587.341	605.666	696.379	586.337	637.06
GRN	2018.76	1963.45	2020.43	1827.9	1959.45	1858.38	1987.7	2374.11	2117.51
ZNF814	97.3578	121.832	107.879	125.382	138.815	157.059	101.441	109.523	128.015
CD47	2397.37	2205.77	2330.19	2451.29	2490.65	2457.46	2703.27	2382.96	2563.3
UBA6	3169.54	3004.07	2982.09	3612.13	3319.83	3247.46	3517.54	3068.87	3750.07
LRRC49	255.5	242.318	237.334	290.914	280.097	256.75	257.715	230.11	259.041
TMEM198	171.535	178.373	189.559	142.992	169.662	148.595	137.083	163.732	171.69
CISH	73.1471	88.85	78.5978	71.1437	62.3124	63.9524	63.058	63.0589	46.6876
ERBB2IP	3182.93	3099.65	2854.18	3450.82	3266.77	3328.34	3432.55	3061.12	3515.13
SCG5	18.0292	22.8856	16.9525	13.3835	14.19	15.0476	19.1916	12.1693	15.0605
CENPI	965.851	961.869	953.961	1038.98	993.914	985.619	899.261	859.593	939.777
RANBP3	1709.65	1698.89	1764.6	1686.31	1588.63	1600.69	1535.31	1677.13	1563.26
PHLDA2	73.1471	80.7728	80.1389	72.5525	67.248	61.1309	54.833	79.6534	52.7119
EID2B	113.842	130.583	129.455	140.174	139.432	156.119	145.307	129.437	144.581
ZMYM4	2958.34	2847.91	2844.93	2978.17	3125.49	3251.22	2985.66	2919.52	3164.22
APOBEC2	9.27217	10.7697	9.2468	11.2703	17.2747	16.9286	16.4499	11.063	15.0605
TTC37	3109.27	2956.96	2832.6	3415.6	3199.53	3174.11	3155.64	3118.65	3381.09
FLYWCH1	1388.76	1431.02	1527.26	1282	1360.38	1327.95	1346.15	1520.05	1423.22
VASN	188.534	197.893	238.876	121.156	172.13	158	148.054	168.157	197.293
KLF15	419.823	384.344	425.353	339.517	371.407	378.071	515.43	552.042	515.07
ZNF260	631.023	599.065	596.419	650.859	639.165	691.25	636.063	597.4	670.194
MAGEC2	27.8165	25.578	27.7404	34.5153	29.6138	38.5595	24.6749	24.3385	28.615
